frame,time_sec,anchor_x,anchor_y,tip_x,tip_y,quality,length_env_px,length_axis_px,length_axis_skeleton_px,length_axis_body_bins_px,length_axis_alt_px,length_axis_disagreement_px,centerline_disagreement,diameter_max_px,diameter_max_orth_px,diameter_max_thickness_px,diameter_max_feret_px,diameter_p95_px,diameter_mid_median_px,diameter_mid_p90_px,diameter_peak_span_px,diameter_peak_pos_norm,area_proj_px2,area_proj_contour_width_integral_px2,area_proj_contour_px2,area_proj_definition_gap_px2,body_mask_area_px2,component_area_px2,excluded_attachment_area_px2,body_mask_attachment_leak_fraction,attachment_count,attachment_border_touch_count,attachment_max_elongation,attachment_max_solidity,attachment_max_orientation_mismatch_deg,attachment_max_distance_to_main_axis_px,x_peak_norm,taper_left_px,taper_right_px,landing_zone_left_px,landing_zone_right_px,transition_zone_left_px,transition_zone_right_px,compaction_zone_length_px,zone_symmetry,branch_component_count_after_pruning,branch_count_after_pruning,endpoint_jump_px,axis_peak_position_stability,centerline_points,length_axis_formal_px,area_proj_formal_px2,anchor_jump_px,tip_jump_px,length_axis_ref_px,length_env_ref_px,foreshortening_axis,foreshortening_env,temperature_c,austenite_fraction,area_proj_true_px2,area_proj_true_norm,area_proj_raster_true_px2,area_proj_contour_true_px2,length_env_recovery,length_axis_recovery,diameter_max_recovery,area_proj_recovery,length_env_smooth,length_axis_smooth,diameter_max_smooth,diameter_mid_median_smooth,area_proj_smooth_px2,compaction_zone_smooth,body_mask_area_smooth_px2,axis_definition_gap_smooth_px
0,0.0,215.37493571083314,235.4086586619303,287.74382378307325,173.2324148137989,0.9897464474784063,341.955150246651,332.33259567565494,332.33259567565494,382.1665303208965,394.4090752162859,62.07647954063094,0.1867902226515735,51.5,51.5,13.99993896484375,86.86664671909283,86.2258187878865,82.6210947939401,86.23790988092813,288.0,0.3764705882352941,2371.876734629921,24532.411188572783,24247.0,-21875.12326537008,10491.0,10767.0,489.0,0.04541655057118975,1,0,1.8421052631578947,0.9337539432176656,4.5857339319169625,3.851626731169953,0.3764705882352941,0.0,0.0,0.0,0.0,8.0,20.0,312.0,0.9647058823529412,77,77,177.48525824067693,,112,332.33259567565494,2371.876734629921,,,634.6268208814446,341.9944612110107,0.4763338315672315,0.0001149462018199543,25.0,0.0,25274.0,1.0,25274.0,26105.0,0.1070813511592423,0.6300463522444385,0.09090909090983704,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
1,0.05,219.60254025335223,232.35878917347725,330.7441849655853,172.02905176770471,0.9878712615129877,341.9840205071252,314.9687370825756,314.9687370825756,393.93767281306174,405.6918859589806,90.72314887640499,0.2880385835011302,71.5,71.5,33.55657958984375,82.00292639590069,80.24005751889504,77.55545927639403,81.1921247148462,216.0,0.6352941176470588,3320.929064297903,22921.93106005634,22633.5,-19312.570935702097,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,0.0,0.0,0.0,28.0,44.0,268.0,0.9529411764705882,59,59,135.0336640029459,0.2588235294117647,107,314.9687370825756,3320.929064297903,5.212901693349389,43.01719591567068,634.6268208814446,341.9944612110107,0.5036945702277287,3.052886835797075e-05,25.1128,0.0,23757.5625,0.94,23719.0,24451.5,0.10692708105956415,0.6688003712435641,0.31818181818237773,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
2,0.1,219.60254025335223,232.35878917347725,330.7441849655853,172.02905176770471,0.9878712615129877,341.9840205071252,314.9687370825756,314.9687370825756,393.93767281306174,405.6918859589806,90.72314887640499,0.2880385835011302,71.5,71.5,33.55657958984375,82.00292639590069,80.24005751889504,77.55545927639403,81.1921247148462,216.0,0.6352941176470588,3320.929064297903,22921.93106005634,22633.5,-19312.570935702097,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,0.0,0.0,0.0,28.0,44.0,268.0,0.9529411764705882,59,59,135.0336640029459,0.0,107,314.9687370825756,3320.929064297903,0.0,0.0,634.6268208814446,341.9944612110107,0.5036945702277287,3.052886835797075e-05,25.2256,0.0,23757.5625,0.94,23719.0,24451.5,0.10692708105956415,0.6688003712435641,0.31818181818237773,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
3,0.15,219.60254025335223,232.35878917347725,330.7441849655853,172.02905176770471,0.9878712615129877,341.9840205071252,314.9687370825756,314.9687370825756,393.93767281306174,405.6918859589806,90.72314887640499,0.2880385835011302,71.5,71.5,33.55657958984375,82.00292639590069,80.24005751889504,77.55545927639403,81.1921247148462,216.0,0.6352941176470588,3320.929064297903,22921.93106005634,22633.5,-19312.570935702097,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,0.0,0.0,0.0,28.0,44.0,268.0,0.9529411764705882,59,59,135.0336640029459,0.0,107,314.9687370825756,3320.929064297903,0.0,0.0,634.6268208814446,341.9944612110107,0.5036945702277287,3.052886835797075e-05,25.3383,0.0,23757.5625,0.94,23719.0,24451.5,0.10692708105956415,0.6688003712435641,0.31818181818237773,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
4,0.2,219.60254025335223,232.35878917347725,330.7441849655853,172.02905176770471,0.9878712615129877,341.9840205071252,314.9687370825756,314.9687370825756,393.93767281306174,405.6918859589806,90.72314887640499,0.2880385835011302,71.5,71.5,33.55657958984375,82.00292639590069,80.24005751889504,77.55545927639403,81.1921247148462,216.0,0.6352941176470588,3320.929064297903,22921.93106005634,22633.5,-19312.570935702097,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,0.0,0.0,0.0,28.0,44.0,268.0,0.9529411764705882,59,59,135.0336640029459,0.0,107,314.9687370825756,3320.929064297903,0.0,0.0,634.6268208814446,341.9944612110107,0.5036945702277287,3.052886835797075e-05,25.4511,0.0,23757.5625,0.94,23719.0,24451.5,0.10692708105956415,0.6688003712435641,0.31818181818237773,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
5,0.25,219.60254025335223,232.35878917347725,330.7441849655853,172.02905176770471,0.9878712615129877,341.9840205071252,314.9687370825756,314.9687370825756,393.93767281306174,405.6918859589806,90.72314887640499,0.2880385835011302,71.5,71.5,33.55657958984375,82.00292639590069,80.24005751889504,77.55545927639403,81.1921247148462,216.0,0.6352941176470588,3320.929064297903,22921.93106005634,22633.5,-19312.570935702097,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,0.0,0.0,0.0,28.0,44.0,268.0,0.9529411764705882,59,59,135.0336640029459,0.0,107,314.9687370825756,3320.929064297903,0.0,0.0,634.6268208814446,341.9944612110107,0.5036945702277287,3.052886835797075e-05,25.5639,0.0,23757.5625,0.94,23719.0,24451.5,0.10692708105956415,0.6688003712435641,0.31818181818237773,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
6,0.3,219.60254025335223,232.35878917347725,330.7441849655853,172.02905176770471,0.9878712615129877,341.9840205071252,314.9687370825756,314.9687370825756,393.93767281306174,405.6918859589806,90.72314887640499,0.2880385835011302,71.5,71.5,33.55657958984375,82.00292639590069,80.24005751889504,77.55545927639403,81.1921247148462,216.0,0.6352941176470588,3320.929064297903,22921.93106005634,22633.5,-19312.570935702097,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,0.0,0.0,0.0,28.0,44.0,268.0,0.9529411764705882,59,59,135.0336640029459,0.0,107,314.9687370825756,3320.929064297903,0.0,0.0,634.6268208814446,341.9944612110107,0.5036945702277287,3.052886835797075e-05,25.6767,0.0,23757.5625,0.94,23719.0,24451.5,0.10692708105956415,0.6688003712435641,0.31818181818237773,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
7,0.35,219.60254025335223,232.35878917347725,330.7441849655853,172.02905176770471,0.9878712615129877,341.9840205071252,314.9687370825756,314.9687370825756,393.93767281306174,405.6918859589806,90.72314887640499,0.2880385835011302,71.5,71.5,33.55657958984375,82.00292639590069,80.24005751889504,77.55545927639403,81.1921247148462,216.0,0.6352941176470588,3320.929064297903,22921.93106005634,22633.5,-19312.570935702097,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,0.0,0.0,0.0,28.0,44.0,268.0,0.9529411764705882,59,59,135.0336640029459,0.0,107,314.9687370825756,3320.929064297903,0.0,0.0,634.6268208814446,341.9944612110107,0.5036945702277287,3.052886835797075e-05,25.7895,0.0,23757.5625,0.94,23719.0,24451.5,0.10692708105956415,0.6688003712435641,0.31818181818237773,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
8,0.4,219.60254025335223,232.35878917347725,330.7441849655853,172.02905176770471,0.9878712615129877,341.9840205071252,314.9687370825756,314.9687370825756,393.93767281306174,405.6918859589806,90.72314887640499,0.2880385835011302,71.5,71.5,33.55657958984375,82.00292639590069,80.24005751889504,77.55545927639403,81.1921247148462,216.0,0.6352941176470588,3320.929064297903,22921.93106005634,22633.5,-19312.570935702097,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,0.0,0.0,0.0,28.0,44.0,268.0,0.9529411764705882,59,59,135.0336640029459,0.0,107,314.9687370825756,3320.929064297903,0.0,0.0,634.6268208814446,341.9944612110107,0.5036945702277287,3.052886835797075e-05,25.9023,0.0,23757.5625,0.94,23719.0,24451.5,0.10692708105956415,0.6688003712435641,0.31818181818237773,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
9,0.45,219.60254025335223,232.35878917347725,330.7441849655853,172.02905176770471,0.9878712615129877,341.9840205071252,314.9687370825756,314.9687370825756,393.93767281306174,405.6918859589806,90.72314887640499,0.2880385835011302,71.5,71.5,33.55657958984375,82.00292639590069,80.24005751889504,77.55545927639403,81.1921247148462,216.0,0.6352941176470588,3320.929064297903,22921.93106005634,22633.5,-19312.570935702097,9370.0,9663.0,455.0,0.04708682603746248,1,0,1.8888888888888888,0.9193729003359462,3.971170437695075,3.6818934798522767,0.6352941176470588,0.0,0.0,0.0,0.0,28.0,44.0,268.0,0.9529411764705882,59,59,135.0336640029459,0.0,107,314.9687370825756,3320.929064297903,0.0,0.0,634.6268208814446,341.9944612110107,0.5036945702277287,3.052886835797075e-05,26.015,0.0,23757.5625,0.94,23719.0,24451.5,0.10692708105956415,0.6688003712435641,0.31818181818237773,1.0,341.9840205071252,314.9687370825756,71.5,77.55545927639403,3320.929064297903,268.0,9370.0,90.72314887640499
