frame,time_sec,temperature_c,x_true_px,kappa_true_px_inv,anchor_x,anchor_y,tip_x,tip_y,x_recovery_true,kappa_recovery_true
43,2.15,24.039665970772443,349.7064085420533,0.00449995401858438,585.0,32.0,311.06755882853616,249.38350868735182,1.6998708582879355e-05,8.963063460801716e-06
44,2.2,24.133611691022963,349.7064583131661,0.004499951807198195,585.0,32.0,311.06761598558677,249.38366078000945,1.794128493112846e-05,9.460066185404946e-06
45,2.25,24.227557411273487,349.7065104778739,0.004499949489460926,585.0,32.0,311.0676758915668,249.38382018716032,1.892919171165534e-05,9.980971012014284e-06
46,2.3,24.321503131524008,349.70656515128616,0.004499947060258004,585.0,32.0,311.06773867868617,249.3839872605666,1.99646088917715e-05,1.052692742566959e-05
47,2.35,24.41544885177453,349.7066224540473,0.004499944514228903,585.0,32.0,311.0678044855137,249.38416236890586,2.1049821263189187e-05,1.1099140189131291e-05
48,2.4,24.50939457202505,349.70668251260327,0.004499941845755317,585.0,32.0,311.06787345728304,249.38434589858485,2.2187223486562508e-05,1.1698872000652411e-05
49,2.45,24.603340292275576,349.70674545947963,0.004499939048948762,585.0,32.0,311.06794574621335,249.38453825459104,2.337932536101973e-05,1.2327446280019196e-05
50,2.5,24.697286012526096,349.70681143357626,0.004499936117637586,585.0,32.0,311.0680215118445,249.38473986138862,2.4628757402654932e-05,1.2986250088708449e-05
51,2.55,24.791231732776616,349.70688058047034,0.004499933045353355,585.0,32.0,311.06810092139057,249.38495116385099,2.5938276584496637e-05,1.3676737188450186e-05
52,2.6,24.88517745302714,349.70695305274046,0.00449992982531658,585.0,32.0,311.0681841501077,249.38517262824595,2.7310772473709806e-05,1.4400431250281693e-05
53,2.65,24.979123173277664,349.7070290103012,0.004499926450421763,585.0,32.0,311.0682713816819,249.38540474326183,2.874927356795282e-05,1.5158929214287978e-05
54,2.7,25.073068893528184,349.7071086207575,0.004499922913221722,585.0,32.0,311.06836280863314,249.3856480210863,3.025695400636104e-05,1.5953904813479185e-05
55,2.75,25.167014613778704,349.7071920597724,0.004499919205911163,585.0,32.0,311.06845863274253,249.38590299853632,3.1837140535664025e-05,1.6787112265508878e-05
56,2.8,25.260960334029228,349.70727951145636,0.004499915320309457,585.0,32.0,311.06855906549566,249.38617023824224,3.34933198789187e-05,1.7660390143149585e-05
57,2.85,25.35490605427975,349.7073711687719,0.004499911247842601,585.0,32.0,311.0686643285508,249.38645032988836,3.52291464035132e-05,1.8575665429178824e-05
58,2.9,25.448851774530272,349.7074672339605,0.004499906979524302,585.0,32.0,311.0687746542271,249.38674389151453,3.704845020362829e-05,1.9534957767371827e-05
59,2.95,25.542797494780793,349.7075679189872,0.004499902505936154,585.0,32.0,311.0688902860185,249.38705157087819,3.895524552072404e-05,2.0540383917203495e-05
60,3.0,25.636743215031316,349.70767344600876,0.004499897817206865,585.0,32.0,311.069011479131,249.38737404688393,4.095373960754982e-05,2.1594162423760877e-05
61,3.05,25.730688935281837,349.70778404786415,0.004499892902990479,585.0,32.0,311.0691385010455,249.38771203108092,4.304834202060666e-05,2.2698618510663678e-05
62,3.1,25.824634655532357,349.70789996858673,0.004499887752443566,585.0,32.0,311.0692716321089,249.38806626923133,4.524367431737858e-05,2.3856189208273798e-05
63,3.15,25.91858037578288,349.7080214639433,0.004499882354201294,585.0,32.0,311.0694111661531,249.38843754295615,4.75445802659842e-05,2.506942872966988e-05
64,3.2,26.012526096033405,349.7081488019982,0.004499876696352372,585.0,32.0,311.0695574111429,249.38882667145842,4.9956136529570677e-05,2.634101410374388e-05
65,3.25,26.106471816283925,349.7082822637033,0.004499870766412775,585.0,32.0,311.0697106898571,249.38923451332965,5.248366383513867e-05,2.7673751079455077e-05
66,3.3,26.200417536534445,349.7084221435188,0.004499864551298213,585.0,32.0,311.06987134060006,249.3896619684435,5.513273873552604e-05,2.9070580313327673e-05
67,3.35,26.29436325678497,349.7085687500611,0.004499858037295279,585.0,32.0,311.0700397179497,249.39010997994032,5.790920587627626e-05,3.053458385461728e-05
68,3.4,26.38830897703549,349.7087224067843,0.004499851210031199,585.0,32.0,311.07021619353895,249.3905795363057,6.08191909041088e-05,3.2068991942961546e-05
69,3.45,26.482254697286013,349.70888345269253,0.0044998440544421455,585.0,32.0,311.0704011568784,249.3910716735519,6.386911395240048e-05,3.3677190130795923e-05
70,3.5,26.576200417536533,349.7090522430878,0.004499836554740015,585.0,32.0,311.0705950162144,249.39158747750085,6.706570381025286e-05,3.5362726749053675e-05
71,3.55,26.670146137787057,349.7092291503528,0.004499828694377615,585.0,32.0,311.0707981994315,249.39212808617847,7.04160127439266e-05,3.712932073213482e-05
72,3.6,26.764091858037578,349.70941456477215,0.004499820456012183,585.0,32.0,311.0710111549967,249.39269469232337,7.392743204815178e-05,3.898086981637455e-05
73,3.65,26.8580375782881,349.7096088953912,0.004499811821467139,585.0,32.0,311.0712343529511,249.39328854601663,7.760770831654911e-05,4.092145913579344e-05
74,3.7,26.95198329853862,349.70981257092,0.00449980277169202,585.0,32.0,311.07146828594625,249.39391095743835,8.146496055280797e-05,4.2955370227995184e-05
75,3.75,27.045929018789145,349.71002604067604,0.004499793286720473,585.0,32.0,311.07171347033295,249.39456329975448,8.550769803219415e-05,4.508709047340948e-05
76,3.8,27.139874739039666,349.7102497755746,0.004499783345626244,585.0,32.0,311.0719704473019,249.39524701214364,8.974483905225762e-05,4.732132298795853e-05
77,3.85,27.233820459290186,349.71048426916764,0.004499772926477041,585.0,32.0,311.0722397840781,249.3959636029706,9.418573060934156e-05,4.966299699156496e-05
78,3.9,27.32776617954071,349.7107300387293,0.004499762006286192,585.0,32.0,311.0725220751747,249.3967146531091,9.884016895567934e-05,5.2117278672969475e-05
79,3.95,27.421711899791234,349.710987626398,0.0044997505609619785,585.0,32.0,311.0728179437044,249.39750181942702,0.00010371842122762216,5.468958257717485e-05
80,4.0,27.515657620041754,349.7112576003684,0.0044997385652545295,585.0,32.0,311.0731280427582,249.3983268384375,0.00010883124802335125,5.738558354046811e-05
81,4.05,27.609603340292274,349.71154055614375,0.0044997259927001786,585.0,32.0,311.0734530568465,249.39919153012434,0.00011418992711308222,6.021122919621852e-05
82,4.1,27.703549060542798,349.711837117849,0.004499712815563138,585.0,32.0,311.0737937034101,249.40009780195368,0.00011980627831405653,6.317275308342092e-05
83,4.15,27.79749478079332,349.7121479396024,0.004499699004774386,585.0,32.0,311.0741507344082,249.4010476530751,0.00012569268946357665,6.627668838176689e-05
84,4.2,27.891440501043842,349.71247370695903,0.0044996845298676,585.0,32.0,311.07452493797626,249.40204317872713,0.00013186214375383032,6.952988231008666e-05
85,4.25,27.985386221294362,349.712815138418,0.00449966935891204,585.0,32.0,311.0749171401701,249.4030865748521,0.00013832824828102183,7.293951121077475e-05
86,4.3,28.079331941544886,349.71317298700575,0.0044996534584421976,585.0,32.0,311.07532820678904,249.4041801429334,0.0001451052640251894,7.651309636152559e-05
87,4.35,28.173277661795407,349.71354804193345,0.004499636793384064,585.0,32.0,311.0757590452895,249.4053262950643,0.00015220813724348454,8.025852054537456e-05
88,4.4,28.267223382045927,349.71394113033324,0.004499619326977875,585.0,32.0,311.076210606791,249.4065275592595,0.0001596525323468864,8.418404541413284e-05
89,4.45,28.36116910229645,349.7143531190803,0.004499601020697144,585.0,32.0,311.07668388817655,249.40778658502276,0.00016745486640891042,8.829832968576297e-05
90,4.5,28.455114822546975,349.7147849166991,0.0044995818341638065,585.0,32.0,311.07717993429713,249.40910614918062,0.00017563234526863318,9.261044821487763e-05
91,4.55,28.549060542797495,349.7152374753634,0.004499561725059298,585.0,32.0,311.07769984027993,249.4104891619952,0.0001842030014013517,9.712991197768827e-05
92,4.6,28.643006263048015,349.7157117929901,0.0044995406490313744,585.0,32.0,311.07824475394955,249.4119386735708,0.00019318573357948447,0.00010186668901448456
93,4.65,28.73695198329854,349.716208915435,0.004499518559596456,585.0,32.0,311.07881587836454,249.4134578805674,0.0002026003484518191,0.00010683122637681948
94,4.7,28.830897703549063,349.7167299387928,0.004499495408037291,585.0,32.0,311.07941447447786,249.41505013323632,0.0002124676041013912,0.0001120344731279395
95,4.75,28.924843423799583,349.71727601180726,0.004499471143295724,585.0,32.0,311.08004186392327,249.4167189427909,0.0002228092556917991,0.00011748790444207498
96,4.8,29.018789144050103,349.7178483383969,0.004499445711860312,585.0,32.0,311.08069943193857,249.4184679891338,0.0002336481032988402,0.00012320354686321626
97,4.85,29.112734864300627,349.7184481803013,0.004499419057648564,585.0,32.0,311.0813886304282,249.42030112895065,0.0002450080420265088,0.00012919400477113505
98,4.9,29.206680584551147,349.71907685985394,0.004499391121883534,585.0,32.0,311.0821109811743,249.42222240419383,0.0002569141145171591,0.00013547248811625126
99,4.95,29.300626304801668,349.7197357628879,0.004499361842964514,585.0,32.0,311.08286807920143,249.42423605097014,0.00026939256598609184,0.00014205284148163132
100,5.0,29.39457202505219,349.7204263417805,0.004499331156331516,585.0,32.0,311.08366159630555,249.42634650885688,0.0002824709018752977,0.0001489495745399563
101,5.05,29.488517745302715,349.7211501186436,0.004499298994323289,585.0,32.0,311.084493284751,249.42855843066064,0.0002961779482759926,0.00015617789396413562
102,5.1,29.582463465553236,349.7219086886644,0.004499265286028519,585.0,32.0,311.0853649811485,249.43087669264435,0.0003105439151974546,0.0001637537368693466
103,5.15,29.676409185803756,349.7227037236094,0.004499229957129917,585.0,32.0,311.0862786105173,249.43330640524312,0.00032560046292222323,0.00017169380585375262
104,5.2,29.77035490605428,349.72353697549204,0.0044991929297408546,585.0,32.0,311.0872361905465,249.43585292429324,0.0003413807714691937,0.0001800156057147059
105,5.25,29.864300626304804,349.72441028041794,0.004499154122234167,585.0,32.0,311.0882398360589,249.4385218627962,0.0003579196134132785,0.00018873748192386693
106,5.3,29.958246346555324,349.72532556261206,0.004499113449062792,585.0,32.0,311.0892917636933,249.44131910324654,0.00037525343015206504,0.00019787866093921627
107,5.35,30.052192066805844,349.72628483863815,0.004499070820571813,585.0,32.0,311.0903942968113,249.44425081054678,0.0003934204118164702,0.00020745929244694335
108,5.4,30.146137787056368,349.72729022182114,0.004499026142801536,585.0,32.0,311.0915498706402,249.44732344554149,0.00041246058102131804,0.0002175004936195691
109,5.45,30.24008350730689,349.72834392687605,0.004498979317281147,585.0,32.0,311.09276103766837,249.45054377919473,0.00043241588053011915,0.0002280243954912806
110,5.5,30.33402922755741,349.72944827476255,0.0044989302408125174,585.0,32.0,311.0940304732955,249.45391890744537,0.0004533302651903785,0.00023905419154638581
111,5.55,30.427974947807932,349.7306056977669,0.004498878805243692,585.0,32.0,311.09536098176096,249.45745626677203,0.0004752497981781856,0.0002506141886279097
112,5.6,30.521920668058456,349.73181874482697,0.004498824897231553,585.0,32.0,311.0967555023558,249.46116365049699,0.0004982227518416693,0.0002627298602772503
113,5.65,30.615866388308977,349.73309008711067,0.004498768397993174,585.0,32.0,311.0982171159372,249.46504922587164,0.0005222997133510843,0.00027542790261795885
114,5.7,30.709812108559497,349.73442252385865,0.004498709183045307,585.0,32.0,311.09974905175596,249.46912155197074,0.0005475336953449952,0.0002887362929041143
115,5.75,30.80375782881002,349.73581898850597,0.004498647121931452,585.0,32.0,311.10135469461574,249.47338959844333,0.000573980251865371,0.00030268435086136677
116,5.8,30.897703549060545,349.7372825550927,0.00449858207793591,585.0,32.0,311.10303759237877,249.47786276515328,0.000601697599763519,0.00031730280295184167
117,5.85,30.991649269311065,349.73881644498016,0.004498513907784243,585.0,32.0,311.1048014638333,249.48255090275487,0.0006307467458933544,0.00033262384969663227
118,5.9,31.085594989561585,349.74042403388484,0.004498442461329436,585.0,32.0,311.1066502069446,249.4874643342475,0.0006611916203202258,0.00034868123620773587
119,5.95,31.17954070981211,349.74210885924475,0.004498367581223152,585.0,32.0,311.1085879075037,249.49261387755266,0.00069309921582842,0.0003655103260742724
120,6.0,31.273486430062633,349.74387462793715,0.0044982891025713385,585.0,32.0,311.1106188481952,249.49801086916543,0.0007265397340793648,0.0003831481787632231
121,6.05,31.367432150313153,349.7457252243575,0.004498206852573464,585.0,32.0,311.1127475181063,249.50366718892624,0.0007615867386143038,0.00040163363070019187
122,6.1,31.461377870563673,349.7476647188847,0.0044981206501446165,585.0,32.0,311.1149786226949,249.50959528597008,0.0007983173151697257,0.0004210073802017325
123,6.15,31.555323590814197,349.7496973767416,0.0044980303055196505,585.0,32.0,311.11731709424305,249.5158082059024,0.000836812239478866,0.00044131207644170433
124,6.2,31.649269311064717,349.7518276672778,0.004497935619838564,585.0,32.0,311.1197681028158,249.52231961926518,0.0008771561530738561,0.00046259241263723553
125,6.25,31.743215031315238,349.7540602736873,0.0044978363847121994,585.0,32.0,311.1223370677538,249.52914385134926,0.0009194377473199681,0.0004848952236558589
126,6.3,31.83716075156576,349.75640010318466,0.004497732381767367,585.0,32.0,311.1250296697234,249.5362959134156,0.0009637499561319398,0.00050826958824792
127,6.35,31.931106471816285,349.75885229765953,0.004497623382170429,585.0,32.0,311.1278518633525,249.54379153539224,0.0010101901577534644,0.0005327669361192723
128,6.4,32.02505219206681,349.7614222448339,0.004497509146128345,585.0,32.0,311.130809890479,249.55164720011663,0.001058860386056287,0.0005584411600705823
129,6.45,32.118997912317326,349.7641155899389,0.004497389422366108,585.0,32.0,311.1339102940477,249.5598801791899,0.0011098675516764784,0.0005853487334412621
130,6.5,32.21294363256785,349.7669382479445,0.004497263947579516,585.0,32.0,311.13715993267886,249.56850857052424,0.0011633236736241078,0.0006135488330983862
131,6.55,32.306889352818374,349.76989641635714,0.004497132445862096,585.0,32.0,311.14056599594886,249.57755133765514,0.0012193461216483575,0.0006431034682329797
132,6.6,32.40083507306889,349.7729965886184,0.004496994628105007,585.0,32.0,311.14413602041503,249.58702835090318,0.0012780578699824602,0.0006740776152309349
133,6.65,32.494780793319414,349.77624556812964,0.004496850191368676,585.0,32.0,311.14787790642066,249.59696043047074,0.0013395877629464297,0.0007065393588951732
134,6.7,32.58872651356994,349.7796504829281,0.004496698818224854,585.0,32.0,311.151799935721,249.60736939155797,0.0014040707928877098,0.0007405600403176938
135,6.75,32.682672233820455,349.7832188010505,0.004496540176067738,585.0,32.0,311.15591078996755,249.61827809159635,0.0014716483911379444,0.0007762144117017163
136,6.8,32.77661795407098,349.78695834660596,0.004496373916392746,585.0,32.0,311.16021957009843,249.62971047968966,0.0015424687324067867,0.0008135807984561434
137,6.85,32.8705636743215,349.7908773165993,0.004496199674041458,585.0,32.0,311.1647358166729,249.64169164836883,0.0016166870533856823,0.0008527412688921804
138,6.9,32.964509394572026,349.79498429853044,0.004496017066411183,585.0,32.0,311.1694695312022,249.65424788775877,0.0016944659860492885,0.0008937818118712435
139,6.95,33.05845511482255,349.7992882888103,0.004495825692627532,585.0,32.0,311.1744311985252,249.6674067422751,0.0017759759064177767,0.0009367925227661534
140,7.0,33.15240083507307,349.80379871202337,0.004495625132678353,585.0,32.0,311.1796318102781,249.68119706995114,0.0018613952993570284,0.0009818677981077507
141,7.05,33.24634655532359,349.8085254410807,0.004495414946507228,585.0,32.0,311.1850828895165,249.69564910452902,0.0019509111402424121,0.0010291065393183078
142,7.1,33.340292275574114,349.813478818296,0.004495194673064756,585.0,32.0,311.1907965165448,249.71079452042395,0.0020447192940997523,0.0010786123659329186
143,7.15,33.43423799582463,349.81866967743076,0.0044949638293156945,585.0,32.0,311.1967853560143,249.72666650069968,0.00214302493310085,0.0011304938387416239
144,7.2,33.528183716075155,349.8241093667457,0.004494721909200002,585.0,32.0,311.203062685352,249.7432998081814,0.0022460429731186674,0.0011848646932924444
145,7.25,33.62212943632568,349.82980977310336,0.004494468382545713,585.0,32.0,311.20964242459155,249.76073085984913,0.0023539985301872478,0.0012418440842192672
146,7.3,33.7160751565762,349.83578334716907,0.004494202693931505,585.0,32.0,311.2165391676698,249.7789978046536,0.0024671273977609426,0.0013015568408766694
147,7.35,33.81002087682673,349.84204312975425,0.004493924261496744,585.0,32.0,311.22376821526774,249.7981406049037,0.0025856765456126344,0.001364133734779349
148,7.4,33.90396659707724,349.8486027793511,0.004493632475696681,585.0,32.0,311.2313456092727,249.81820112138175,0.0027099046412902934,0.0014297117593674274
149,7.45,33.99791231732777,349.8554766009094,0.004493326698000393,585.0,32.0,311.2392881689419,249.83922320234674,0.002840082595098579,0.0014984344226405238
150,7.5,34.09185803757829,349.86267957590456,0.004493006259528993,585.0,32.0,311.24761352885713,249.86125277659195,0.0029764941295334383,0.0015704520532171448
151,7.55,34.18580375782881,349.87022739375584,0.004492670459631472,585.0,32.0,311.25634017875643,249.88433795073405,0.003119436374289278,0.001645922120408684
152,7.6,34.27974947807933,349.87813648464237,0.004492318564395534,585.0,32.0,311.2654875053424,249.90852911090508,0.0032692204877343687,0.0017250095689059068
153,7.65,34.373695198329855,349.88642405378016,0.004491949805090595,585.0,32.0,311.2750758361656,249.93387902904124,0.003426172306056941,0.001807887168710681
154,7.7,34.46764091858037,349.8951081172142,0.004491563376540058,585.0,32.0,311.2851264856911,249.96044297395545,0.003590633021103594,0.0018947358809617092
155,7.75,34.561586638830896,349.90420753919034,0.004491158435419889,585.0,32.0,311.29566180365447,249.98827882739312,0.003762959888137235,0.0019857452403254272
156,7.8,34.65553235908142,349.9137420711632,0.004490734098480365,585.0,32.0,311.3067052258329,250.0174472052762,0.003943526964575992,0.0020811137546522846
157,7.85,34.74947807933194,349.9237323925089,0.00449028944068781,585.0,32.0,311.31828132734717,250.04801158434597,0.004132725881021069,0.0021810493226173326
158,7.9,34.84342379958247,349.9342001530045,0.004489823493282984,585.0,32.0,311.33041587863113,250.08003843442438,0.004330966645741547,0.002285769670090566
159,7.95,34.937369519832984,349.9451680171417,0.004489335241752714,585.0,32.0,311.3431359042027,250.11359735651484,0.004538678483897207,0.0023955028060083728
160,8.0,35.03131524008351,349.95665971034464,0.00448882362371123,585.0,32.0,311.35646974438214,250.1487612269772,0.0047563107128191446,0.0025104874985357943
161,8.05,35.12526096033403,349.9687000671572,0.00448828752668757,585.0,32.0,311.3704471201108,250.1856063480077,0.004984333654596968,0.002630973772341832
162,8.1,35.21920668058455,349.9813150814749,0.004487725785815295,585.0,32.0,311.3850992010326,250.22421260467374,0.005223239587375251,0.002757223427829348
163,8.15,35.31315240083507,349.9945319588909,0.004487137181420677,585.0,32.0,311.4004586770053,250.26466362874692,0.005473543736697352,0.002889510583182934
164,8.2,35.407098121085596,350.00837917122794,0.004486520436505377,585.0,32.0,311.41655983322494,250.3070469695898,0.0057357853082444085,0.0030281222401289257
165,8.25,35.50104384133611,350.02288651333447,0.004485874214119569,585.0,32.0,311.4334386291466,250.3514542723582,0.006010528563448612,0.0031733588743196733
166,8.3,35.59498956158664,350.03808516221125,0.004485197114621347,585.0,32.0,311.45113278140946,250.3979814637795,0.006298363939249992,0.0033255350512732844
167,8.35,35.68893528183716,350.0540077385512,0.004484487672818142,585.0,32.0,311.4696818509684,250.44672894578034,0.0065999092135501135,0.0034849800688316252
168,8.4,35.782881002087684,350.0706883707604,0.004483744354985825,585.0,32.0,311.4891273346595,250.4978017972308,0.006915810717655565,0.0036520386271091357
169,8.45,35.87682672233821,350.088162761539,0.004482965555761052,585.0,32.0,311.50951276143195,250.551309984087,0.007246744597202237,0.0038270715269289627
170,8.5,35.970772442588725,350.10646825709114,0.004482149594902351,585.0,32.0,311.5308837934944,250.60736857820302,0.007593418122868326,0.004010456397759507
171,8.55,36.06471816283925,350.12564391904175,0.0044812947139153785,585.0,32.0,311.5532883326372,250.66609798510092,0.007956571052351981,0.004202588456178307
172,8.6,36.15866388308977,350.1457305991233,0.004480399072537719,585.0,32.0,311.5767766320067,250.72762418096679,0.008336977044802057,0.004403881295903459
173,8.65,36.25260960334029,350.16677101671075,0.0044794607450785555,585.0,32.0,311.60140141362075,250.7920789591648,0.008735445129196178,0.004614767710442279
174,8.7,36.34655532359081,350.1888098392613,0.0044784777166085015,585.0,32.0,311.62721799193605,250.85960018653478,0.009152821227722159,0.004835700549415167
175,8.75,36.44050104384134,350.21189376572886,0.004477447878994906,585.0,32.0,311.65428440378986,250.93033206975676,0.009589989735504149,0.005067153609610032
176,8.8,36.534446764091854,350.2360716130074,0.004476369026777885,585.0,32.0,311.68266154505875,251.00442543204176,0.01004787515768323,0.005309622561832436
177,8.85,36.628392484342385,350.2613944054592,0.004475238852882427,585.0,32.0,311.7124133143972,251.08203800041613,0.010527443804922553,0.005563625914596691
178,8.9,36.7223382045929,350.2879154675745,0.004474054944161935,585.0,32.0,311.7436067644375,251.16333470384652,0.011029705548219729,0.005829706015703764
179,8.95,36.816283924843425,350.31569051980455,0.0044728147767686315,585.0,32.0,311.77631226085464,251.24848798244759,0.011555715633810212,0.006108430092727838
180,9.0,36.91022964509395,350.3447777776017,0.004471515711346411,585.0,32.0,311.8106036497195,251.33767810799503,0.01210657655881399,0.006400391333409802
181,9.05,37.004175365344466,350.3752380536879,0.0044701549880418094,585.0,32.0,311.84655843359354,251.43109351595152,0.01268344000801749,0.006706210006927687
