frame,time_s,temperature_C,austenite_fraction,length_env_true_px,length_axis_true_px,length_axis_alt_true_px,diameter_true_px,diameter_max_feret_true_px,area_proj_true_px2,area_proj_true_norm,area_proj_model_true_px2,area_proj_raster_true_px2,area_proj_contour_true_px2
48,2.4,30.4135,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
49,2.45,30.5263,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
50,2.5,30.6391,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
51,2.55,30.7519,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
52,2.6,30.8647,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
53,2.65,30.9774,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
54,2.7,31.0902,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
55,2.75,31.203,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
56,2.8,31.3158,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
57,2.85,31.4286,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
58,2.9,31.5414,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
59,2.95,31.6541,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
60,3.0,31.7669,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
61,3.05,31.8797,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
62,3.1,31.9925,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
63,3.15,32.1053,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
64,3.2,32.218,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
65,3.25,32.3308,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
66,3.3,32.4436,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
67,3.35,32.5564,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
68,3.4,32.6692,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
69,3.45,32.782,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
70,3.5,32.8947,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
71,3.55,33.0075,0.0,416.512,347.8607,347.2101,87.5,89.6242,19542.8069,1.0,25274.0,25274.0,26105.0
